BREAD CRUMBS,Things
FOG AND MIST,Things
A SPECIAL OCCASION,Event
PAPER CUT,Thing
FRUIT GROVE,Place
UPLIFTING WORDS,Things
BIRCHWOOD,Thing
BROWSING,What Are You Doing?
HANDBOOK,Thing
A BIG FACTOR,Thing
DOG GROOMER,Occupation
YOU MAY BEGIN,Phrase
TOUGH JOB,Thing
MY FAVORITE AUTHOR,Person
DRIZZLED HONEY,Food & Drink
BODYBUILDER,Person
VALUABLE IDEA,Thing
DON'T GIVE UP HOPE,Phrase
BIG-HEARTED,Phrase
A VIRGO,Person
PAIR OF JACKRABBITS,Living Things
A YOUTHFUL GUY,Person
SPARK PLUG,Thing
LINCOLN NEBRASKA,Place
HALFBACK,Person
MINK COAT,Thing
WEDDING BOUQUET,Thing
HONEY BADGER,Living Thing
KEY BISCAYNE,On the Map
VERY HEAVY BAGGAGE,Thing
BOBCAT,Living Thing
BUNNY,Thing
A HEFTY CHUNK,Thing
JOGGING YOUR MEMORY,Phrase
MEMO,Thing
BOILED CABBAGE,Food & Drink
WOOL SOCKS,Things
SAGINAW,On the Map
SCHOOL OF THOUGHT,Phrase
CHEWY LICORICE,Food & Drink
POWERBOAT,Thing
QUICK GLIMPSE,Thing
FINDING OUR OWN WAY,What Are You Doing?
MY FUNNY VALENTINE,Title
CRY LIKE A BABY,Phrase
GLACIER,Thing
GOOEY TAFFY,Food & Drink
QUITE A COMPLIMENT,Phrase
VIRTUAL TOUR,Thing
YOUNG ADULT FICTION,Thing
JUMBO-SIZE,Phrase
AUTHORITY FIGURE,Person
MARY POPPINS,Fictional Character
PIGEON,Thing
PATIO AWNING,Thing
BREAK THE ICE,Phrase
LUNCH HOUR,Thing
FACULTY,People
PASSION,Thing
FORK & KNIFE,Things
OPTIMIST,Person
POP OPEN THE HOOD,Phrase
MAGIC TRICKS,Things
SUBWAY,Place
HOW LUCKY,Phrase
IN THE BUFF,Phrase
WAFFLES,Things
VALUABLE GOODS,Things
MOSQUITO BITE,Thing
BUDAPEST,Place
FAVORS,Things
KEEPSAKE,Thing
BABYPROOFING,What Are You Doing?
PLAYING A VIDEO,What Are You Doing?
TOY BOAT,Thing
WORKBENCH,Thing
MAKING IT HAPPEN,What Are You Doing?
PROPER USAGE,Phrase
RABBI,Person
OBVIOUS ANSWER,Thing
NEW JOB,Event
WIND CHIMES,Things
FROZEN WAFFLES,Food & Drink
HOW-TO GUIDE,Thing
ENJOYING THE JOURNEY,What Are You Doing?
HAND TOWEL,Thing
ZORRO,Fictional Character
ADVERTISING CAMPAIGN,Thing
WORDS,Things
WHISKERS,Things
LUBBOCK,On the Map
HEAVY BAGGAGE,Thing
FASHION BOUTIQUE,Place
HUGH JACKMAN,Proper Name
HEADPHONES,Things
FINDING MY WAY,What Are You Doing?
SIR FRANCIS DRAKE,Person
GARFIELD,Fictional Character
TIDBIT,Thing
I JUMPED AT THE CHANCE,Phrase
GOOD WORK,Thing
KICKSTAND,Thing
KEEP PLUGGING AWAY,Phrase
ICING SPATULA,In the Kitchen
ACOUSTIC GUITAR,Thing
DOWN TO THE WIRE,Phrase
IMAGE,Thing
GUITAR PICK,Thing
IRISHMAN,Person
HOBGOBLIN,Fictional Character
BOYHOOD PALS,People
KICKER,Person
HIRING PROCESS,Thing
SOMEWHAT OF A SURPRISE,Phrase
HELP WANTED,Phrase
TOYING WITH THE IDEA,What Are You Doing?
UNACHIEVABLE GOAL,Thing
ALPHABET,Thing
DIAL TONE,Thing
CHAMBER MUSIC,Thing
GARTH BROOKS,Proper Name
BODY WASH,Around the House
FOAMY MILK,Food & Drink
DATE OF BIRTH,Thing
YOU HAVE OPTIONS,Phrase
JULIUS CAESAR,Person
PRIZE,Thing
FIGURE OUT HOW,Phrase
TIGHT-LIPPED,Phrase
DREAM JOB,Thing
ABOVE AND BELOW,Phrase
HIS MIND IS WANDERING,Phrase
BACK AT WORK,Phrase
EXACT CHANGE,Phrase
WHIMSICAL RHYME,Thing
GO FOR BROKE,Phrase
HEAVY QUILT,Around the House
FINAL OFFER,Thing
WHEAT FARM,Place
JAGUARS IN THE WILD,Living Things
GINGER ALE,Thing
PICKING UP THE CHECK,Phrase
A JOYOUS WELCOME,Thing
I MADE A PROMISE,Phrase
MACARONI SALAD,Thing
LIKE A HAWK,Phrase
MIDDLEMAN,Person
JEDI KNIGHT,Fictional Character
DIVING MASK,Thing
BARITONE VOICE,Thing
MAKING GOOFY FACES,What Are You Doing?
PAVED BOULEVARD,Place
GOING ABROAD,What Are You Doing?
CHECKMATE,Event
BUZZING WITH EXCITEMENT,Phrase
CHROME FAUCET,Around the House
RAISE A RUCKUS,Phrase
I'LL GO FIFTY-FIFTY,Phrase
WICKER CHAIR,Around the House
HEARTY LAUGH,Thing
WOOL PANTS,What Are You Wearing?
JOB SKILLS,Things
AN ARTICHOKE,Thing
BACK UP YOUR PHOTOS,Phrase
DOG PARK,Place
LOGICAL OUTCOME,Thing
SOUR CREAM,Thing
HOLIDAY BASH,Event
IOWANS,People
BRIEF VISIT,Event
GO HOG WILD,Phrase
YOUTUBER,Person
PAVILION,Place
HIGH HOPES,Things
DOORKNOB,Thing
PUBLIC ZOO,Place
TEMPERATURE GAUGE,Thing
WORLDWIDE HIT,Thing
